ticker,company,sector,industry,source_bucket,thesis_tag,style_tag,short_reason,possible_disqualifier,mkt_cap_tier,geography,already_analyzed,priority,triage_rec,confidence,as_of_date
AZN,AstraZeneca plc,Healthcare,Pharmaceuticals,tracked|large_cap_europe_quality|52wk_high,secular_growth,compounder,Oncology pipeline leadership; strong growth trajectory,Patent cliffs; regulatory pricing pressure,mega,Europe,True,high,yes,high,2026-04-16
BAC,Bank of America Corp.,Financials,Diversified Banking,post_earnings,sector_leader,value,Scale bank; NII recovery post-earnings beat,Credit cycle risk; rate sensitivity,mega,US,False,high,yes,medium,2026-04-16
BRK-B,Berkshire Hathaway B,Financials,Diversified Conglomerate,tracked|seed|52wk_low,quality_compounder,value,Insurance float + equities; $300B+ cash hoard,Post-Buffett succession uncertainty,mega,US,True,high,yes,high,2026-04-16
C,Citigroup Inc.,Financials,Diversified Banking,post_earnings,turnaround,recovery,Simplification strategy; post-earnings beat signal,Execution complexity; regulatory burden,large,US,False,high,yes,medium,2026-04-16
EL,Estee Lauder Cos. Inc.,Consumer,Beauty / Personal Care,large_cap_us_quality|consumer_quality|52wk_low,mean_reversion,recovery,Premium beauty brands; depressed near 52wk low,China travel retail collapse; management execution,large,US,False,high,yes,medium,2026-04-16
HD,Home Depot Inc.,Consumer,Home Improvement Retail,tracked|52wk_low,dominant_ecosystem,recovery,Home improvement duopoly; housing cycle recovery play,Interest rate sensitivity; housing slowdown,mega,US,True,high,yes,high,2026-04-16
MC.PA,LVMH Moet Hennessy Louis Vuitton SE,Consumer,Luxury Goods,tracked|large_cap_europe_quality|post_earnings,dominant_ecosystem,compounder,Luxury conglomerate; strongest brand portfolio globally,China demand cyclicality; post-earnings signal,mega,Europe,True,high,yes,high,2026-04-16
MRVL,Marvell Technology Inc.,Technology,Semiconductors,semis_and_infra|52wk_high,secular_growth,compounder,Custom silicon + data center networking; AI ramp,Customer concentration; design win execution,large,US,False,high,yes,medium,2026-04-16
MSFT,Microsoft Corp.,Technology,Enterprise Software / Cloud,tracked|seed|52wk_low|sector_leader,dominant_ecosystem,compounder,Enterprise cloud + AI copilot; platform stickiness,Antitrust scrutiny; AI capex returns uncertain,mega,US,True,high,yes,high,2026-04-16
NKE,Nike Inc.,Consumer,Athletic Footwear & Apparel,large_cap_us_quality|consumer_quality|52wk_low,dominant_ecosystem,recovery,Global sports brand; DTC channel rebuild underway,Brand momentum loss; wholesale reset pain,mega,US,False,high,yes,high,2026-04-16
